uid,vbm_vac,cbm_vac
Ti2Br4Se4-2c7da9438994,-6.095617435040742,-3.827446571073911
Ag4Br12-c3ab80dfb5b9,-6.813505177499093,-5.161572610338092
As2Be2Na2-970b8527b728,-2.25031223643702,-1.3014919247359544
Bi2Br2Se2-3a3458078cf2,-6.802032804819573,-5.61314985095143
Br4Te4Y4-898748f43de2,-6.055231618378995,-4.910972032662026
Cs4Cu4Se4-38e736e800e3,-4.071800641587827,-1.1439548653590164
Cu2S2Tl2-477d805ea31b,-5.7219914433091805,-3.8592112146589628
Hf2O2Te2-528b2fc71a54,-5.2481924445235855,-3.7907164702539804
Na2S2Tl2-d3f48dd97316,-5.227845250570155,-2.5702448874836374
Bi2H2Se4-fd94f3c73303,-6.040707629896904,-5.082284695661867
Pb2Tl2I6-1cc3b1cd90b1,-5.431523485587757,-2.8899175866633007
Ge4As8-c8305c2a40e9,-5.47165668009851,-3.7427742852008956
Nb4S12-9f0525eaf527,-5.079282771583102,-4.049489320148999
Pd4I8-4ad713ff946b,-6.689525483054027,-4.672263499751896
As4Ge4Se4-10550abf095d,-6.134188440651979,-3.6474983825092613
Ga2Ge2Te2-aeebf5bc1ad7,-5.246449508468906,-4.081584579081289
In2Si2Te6-4569e8d79f43,-5.411904272379645,-4.2289045679470005
TeNb3I7-f5ac2529d149,-5.184747232900367,-3.9432759746905734
Tl2Pd4Se6-922b93f28e8d,-5.277502336222389,-3.961346013578766
Cl2Rh2Te2-fb4fb079660b,-6.304135811116109,-4.191295341632536
AgBiP2Se6-c86df9e38dcb,-6.217213329993523,-4.238075808140236
Hg4Se4-a442456121d7,-5.64329857702862,-4.706313055584333
Sb2S3-37e5cfa7f658,-6.21134531302716,-5.093349382871966
Al2Te2-e54041554385,-5.659682878854267,-3.296645200852218
Au2S2-8074370a0af2,-6.538619268258505,-4.528544148960014
Ga2O2-16c96094d1a0,-7.7948304476863575,-5.3228511643497685
Se2Tl2-625697b299d1,-6.253264683924511,-5.3621436567460785
CrS2-c5ee5e35d2b4,-5.7613376192824,-4.410554889134456
HfCl2-864f8b497185,-3.8782396732837423,-2.407387067031885
Ir4Se8-7a9859f02406,-5.902695058649581,-4.335048166699604
WSe2-1cfbe6183886,-4.992494296031738,-3.262057164325525
WAg2Te4-a9f65ead2b7c,-4.9295351827790626,-3.6113686583817195
As2I6-7c51a624bf63,-6.5196533705552735,-3.894624718433636
Ir2I6-cc505909d655,-5.89345089784965,-3.4439236939242996
